,OutcomeType,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
15534,Adoption,Cat,Intact Female,1 month,Domestic Shorthair Mix,Orange Tabby
15535,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue/White
15536,Adoption,Dog,Neutered Male,12 years,Labrador Retriever Mix,Black/Brown Brindle
15537,Adoption,Dog,Spayed Female,2 months,Great Pyrenees/Catahoula,White/Brown Merle
15538,Adoption,Cat,Spayed Female,10 years,Domestic Shorthair Mix,Brown Tabby
15539,Euthanasia,Dog,Neutered Male,11 months,Chihuahua Shorthair/Pug,Yellow/White
15540,Transfer,Cat,Intact Male,5 months,Siamese Mix,Seal Point
15541,Return_to_owner,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Blue/White
15542,Adoption,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Blue/White
15543,Adoption,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Brown Tabby
15544,Adoption,Dog,Neutered Male,3 years,Maltese/Miniature Poodle,White
15545,Transfer,Cat,Spayed Female,1 year,Domestic Shorthair Mix,White/Blue
15546,Transfer,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Brown Tabby/White
15547,Adoption,Cat,Spayed Female,2 years,Domestic Shorthair Mix,White
15548,Adoption,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Black
15549,Return_to_owner,Dog,Neutered Male,3 months,Anatol Shepherd Mix,Brown/Tan
15550,Adoption,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Brown Tabby
15551,Transfer,Dog,Intact Female,1 year,Chihuahua Longhair Mix,Tricolor
15552,Return_to_owner,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Torbie
15553,Return_to_owner,Dog,Neutered Male,5 years,English Bulldog,Tan/White
15554,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie
15555,Adoption,Cat,Neutered Male,2 months,Domestic Longhair Mix,Blue
15556,Adoption,Dog,Neutered Male,2 years,German Shepherd Mix,Black/Brown
15557,Adoption,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Black
15558,Return_to_owner,Dog,Spayed Female,1 year,Pointer Mix,White/Black
15559,Transfer,Cat,Intact Female,1 year,Siamese Mix,Lynx Point
15560,Adoption,Dog,Spayed Female,6 years,Labrador Retriever/Pit Bull,Black Smoke/White
15561,Adoption,Dog,Spayed Female,1 year,Jack Russell Terrier,White/Brown
15562,Transfer,Cat,Spayed Female,7 months,Domestic Shorthair Mix,White/Black
15563,Transfer,Dog,Intact Female,2 years,Labrador Retriever Mix,Brown/White
15564,Transfer,Dog,Neutered Male,7 years,Lhasa Apso Mix,Brown/White
15565,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black/White
15566,Adoption,Cat,Spayed Female,3 years,Snowshoe Mix,Lilac Point
15567,Adoption,Dog,Neutered Male,2 months,Dachshund/Chihuahua Shorthair,Black/White
15568,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico
15569,Adoption,Dog,Spayed Female,4 years,Miniature Schnauzer/Miniature Poodle,Black
15570,Adoption,Dog,Neutered Male,10 months,Beagle/Australian Kelpie,Black/Tan
15571,Transfer,Dog,Spayed Female,5 years,Dachshund Mix,Tan/White
15572,Adoption,Dog,Neutered Male,1 month,Chihuahua Shorthair Mix,Chocolate/Tan
15573,Transfer,Cat,Intact Female,1 weeks,Domestic Shorthair Mix,Black Tabby/White
15574,Adoption,Dog,Spayed Female,8 months,Border Collie/Labrador Retriever,Black
15575,Adoption,Dog,Neutered Male,10 months,German Shepherd Mix,White/Brown
15576,Euthanasia,Dog,Intact Male,4 years,Chihuahua Shorthair Mix,White/Black
15577,Transfer,Cat,Intact Male,5 months,Domestic Shorthair Mix,Black
15578,Euthanasia,Dog,Intact Male,1 month,Yorkshire Terrier Mix,Tan/Blue
15579,Adoption,Dog,Neutered Male,2 years,Pit Bull Mix,Black/White
15580,Transfer,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Orange Tabby
15581,Transfer,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black
15582,Transfer,Dog,Neutered Male,10 years,Labrador Retriever Mix,Black
15583,Return_to_owner,Dog,Neutered Male,2 years,Black/Tan Hound Mix,Black/Brown
15584,Died,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black
15585,Adoption,Dog,Spayed Female,2 months,Jack Russell Terrier Mix,Tricolor
15586,Transfer,Cat,Intact Female,1 year,Domestic Shorthair Mix,Torbie
15587,Adoption,Cat,Neutered Male,3 years,Domestic Shorthair Mix,Brown Tabby
15588,Transfer,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Black/White
15589,Adoption,Dog,Spayed Female,1 year,Pit Bull Mix,Blue/White
15590,Return_to_owner,Dog,Intact Male,5 years,Presa Canario,Brown/Black
15591,Adoption,Dog,Neutered Male,6 months,Miniature Schnauzer/Miniature Poodle,Gray/Tan
15592,Return_to_owner,Dog,Spayed Female,13 years,Miniature Poodle,White
15593,Return_to_owner,Dog,Spayed Female,3 years,Border Collie Mix,Black
15594,Return_to_owner,Dog,Intact Male,2 years,Bulldog,White/Brown
15595,Transfer,Dog,Neutered Male,10 years,Dachshund Mix,Red
15596,Euthanasia,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black
15597,Transfer,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby
15598,Adoption,Dog,Neutered Male,6 years,German Shepherd Mix,Black/Tan
15599,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Blue Tabby/White
15600,Transfer,Cat,Intact Male,2 years,Domestic Shorthair Mix,Black
15601,Transfer,Dog,Spayed Female,2 years,Yorkshire Terrier,Red/Black
15602,Transfer,Dog,Intact Male,2 months,Black Mouth Cur Mix,Brown
15603,Adoption,Cat,Spayed Female,13 years,Domestic Shorthair Mix,Calico
15604,Adoption,Cat,Neutered Male,10 years,Russian Blue Mix,Blue
15605,Euthanasia,Dog,Unknown,0 years,Rottweiler Mix,Black/Brown
15606,Transfer,Cat,Intact Male,1 year,Domestic Shorthair Mix,Orange Tabby
15607,Transfer,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Black/White
15608,Adoption,Dog,Neutered Male,5 years,Plott Hound,Black Brindle
15609,Adoption,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby/White
15610,Adoption,Dog,Neutered Male,3 years,Bruss Griffon Mix,Buff
15611,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair,Brown Tabby
15612,Transfer,Dog,Spayed Female,2 years,Miniature Schnauzer Mix,White/Black
15613,Euthanasia,Dog,Intact Male,1 month,Pit Bull Mix,White/Brown
15614,Adoption,Cat,Spayed Female,1 year,Cymric Mix,Blue Tabby/White
15615,Transfer,Cat,Unknown,8 months,Domestic Shorthair Mix,Brown Tabby/White
15616,Adoption,Cat,Neutered Male,10 months,Domestic Medium Hair Mix,Orange Tabby
15617,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
15618,Adoption,Dog,Intact Female,1 year,Dachshund Wirehair Mix,Cream
15619,Transfer,Dog,Neutered Male,8 years,Beagle Mix,Tan/White
15620,Return_to_owner,Dog,Neutered Male,2 years,Bichon Frise Mix,White
15621,Adoption,Dog,Spayed Female,4 years,Pit Bull Mix,Black/White
15622,Transfer,Cat,Intact Male,3 months,Domestic Shorthair Mix,Black
15623,Adoption,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Tortie
15624,Transfer,Dog,Spayed Female,2 years,German Shepherd Mix,Black/Tan
15625,Transfer,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Orange Tabby
15626,Transfer,Cat,Intact Male,2 years,Domestic Shorthair Mix,Black/White
15627,Transfer,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black/White
15628,Adoption,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby
15629,Return_to_owner,Cat,Neutered Male,4 months,Russian Blue Mix,Blue
15630,Transfer,Dog,Spayed Female,2 years,Pit Bull Mix,Tan
15631,Adoption,Dog,Neutered Male,2 years,Pit Bull Mix,Chocolate/White
15632,Transfer,Dog,Intact Male,4 weeks,Chihuahua Shorthair Mix,Sable
15633,Adoption,Cat,Neutered Male,6 months,Domestic Shorthair Mix,Brown Tabby
15634,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
15635,Adoption,Dog,Spayed Female,2 years,Pit Bull Mix,Brown/White
15636,Transfer,Dog,Spayed Female,2 years,Dachshund Mix,Black/Brown
15637,Transfer,Dog,Neutered Male,10 months,Labrador Retriever/Australian Cattle Dog,Cream/White
15638,Return_to_owner,Dog,Neutered Male,9 years,Jack Russell Terrier Mix,White/Black
15639,Transfer,Cat,Neutered Male,11 months,Domestic Shorthair Mix,Black
15640,Return_to_owner,Dog,Spayed Female,3 years,Labrador Retriever Mix,Blue/White
15641,Return_to_owner,Dog,Neutered Male,1 year,Rottweiler Mix,Black/Brown
15642,Adoption,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Red
15643,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,White
15644,Return_to_owner,Dog,Intact Male,3 years,Miniature Pinscher Mix,Black/Brown
15645,Transfer,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Black Tabby
15646,Transfer,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby/White
15647,Adoption,Dog,Spayed Female,1 month,Dachshund Mix,Blue Merle
15648,Adoption,Dog,Spayed Female,2 years,Miniature Poodle/Miniature Schnauzer,Cream
15649,Return_to_owner,Dog,Neutered Male,4 years,Boxer Mix,Brown/Black
15650,Transfer,Cat,Intact Female,8 months,Domestic Shorthair Mix,Black/White
15651,Adoption,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Calico
15652,Transfer,Dog,Spayed Female,1 year,Pit Bull Mix,Tan/White
15653,Transfer,Dog,Intact Female,2 months,Labrador Retriever Mix,White/Cream
15654,Adoption,Dog,Neutered Male,3 years,Doberman Pinsch,Black/Tan
15655,Adoption,Dog,Spayed Female,1 year,Jack Russell Terrier/Pit Bull,White
15656,Adoption,Dog,Neutered Male,5 years,Labrador Retriever Mix,Black
15657,Return_to_owner,Dog,Neutered Male,3 years,Labrador Retriever Mix,Chocolate
15658,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
15659,Transfer,Dog,Intact Female,2 months,Australian Cattle Dog Mix,Black/White
15660,Adoption,Cat,Neutered Male,3 months,Domestic Shorthair Mix,White/Black
15661,Transfer,Dog,Spayed Female,1 year,German Shepherd Mix,Red
15662,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black
15663,Adoption,Cat,Neutered Male,2 months,Domestic Longhair Mix,Orange Tabby/White
15664,Return_to_owner,Dog,Intact Male,9 months,Labrador Retriever/Border Collie,Black/White
15665,Adoption,Dog,Spayed Female,2 years,Australian Shepherd Mix,Brown Merle/White
15666,Transfer,Cat,Unknown,3 years,Domestic Shorthair Mix,Blue Tabby
15667,Transfer,Cat,Intact Male,3 days,Domestic Shorthair Mix,Black Tabby
15668,Transfer,Dog,Intact Female,2 years,Chihuahua Shorthair Mix,Fawn
15669,Transfer,Cat,Intact Male,1 month,Domestic Shorthair Mix,White/Black
15670,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
15671,Adoption,Dog,Neutered Male,5 years,Labrador Retriever/German Shepherd,Black
15672,Transfer,Dog,Intact Female,2 months,Chihuahua Shorthair Mix,Brown/White
15673,Adoption,Dog,Spayed Female,5 months,Black Mouth Cur/Blue Lacy,Sable
15674,Return_to_owner,Dog,Spayed Female,7 years,Labrador Retriever Mix,Buff
15675,Adoption,Dog,Spayed Female,4 months,Pit Bull Mix,White/Brown
15676,Transfer,Cat,Unknown,4 weeks,Domestic Shorthair Mix,Brown Tabby
15677,Adoption,Dog,Neutered Male,2 months,Labrador Retriever Mix,Black/White
15678,Return_to_owner,Dog,Neutered Male,1 year,Miniature Poodle,White
15679,Adoption,Dog,Neutered Male,2 months,Chihuahua Shorthair Mix,Cream
15680,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie/White
15681,Adoption,Cat,Spayed Female,5 months,Domestic Shorthair Mix,Orange Tabby/White
15682,Return_to_owner,Dog,Neutered Male,2 years,Pit Bull Mix,White/Black
15683,Adoption,Cat,Spayed Female,3 months,Domestic Longhair Mix,Tortie
15684,Return_to_owner,Dog,Neutered Male,8 years,Manchester Terrier Mix,Black/Brown
15685,Adoption,Dog,Spayed Female,2 months,Akita Mix,Brown/White
15686,Return_to_owner,Dog,Spayed Female,12 years,Labrador Retriever Mix,Chocolate
15687,Adoption,Cat,Neutered Male,3 years,Domestic Shorthair Mix,Orange Tabby
15688,Adoption,Dog,Spayed Female,6 months,Labrador Retriever Mix,White/Brown
15689,Transfer,Cat,Intact Male,2 years,Domestic Shorthair Mix,Blue
15690,Transfer,Dog,Intact Male,2 weeks,Labrador Retriever Mix,Brown Merle
15691,Adoption,Dog,Intact Male,5 months,Catahoula Mix,Blue Merle/White
15692,Return_to_owner,Dog,Spayed Female,6 years,Chihuahua Shorthair Mix,Brown/White
15693,Adoption,Dog,Spayed Female,1 year,Parson Russell Terrier Mix,Black/White
15694,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby/White
15695,Adoption,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Orange Tabby
15696,Died,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Brown Tabby/White
15697,Return_to_owner,Dog,Neutered Male,9 months,Labrador Retriever Mix,Black/White
15698,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black
15699,Adoption,Dog,Neutered Male,10 months,Pit Bull Mix,Brown/White
15700,Adoption,Dog,Spayed Female,1 year,Catahoula Mix,White/Tan
15701,Return_to_owner,Dog,Intact Female,7 years,German Shepherd/Australian Cattle Dog,Black/Tan
15702,Transfer,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Tortie
15703,Adoption,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,White
15704,Euthanasia,Cat,Intact Male,2 years,Domestic Shorthair Mix,Gray Tabby
15705,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby/White
15706,Adoption,Dog,Neutered Male,3 years,Chihuahua Shorthair,Black
15707,Adoption,Dog,Neutered Male,7 years,Chihuahua Shorthair Mix,White
15708,Euthanasia,Dog,Intact Male,2 years,Pit Bull Mix,Blue/White
15709,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black/White
15710,Euthanasia,Dog,Spayed Female,2 years,German Shepherd Mix,Cream/Black
15711,Adoption,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Brown/White
15712,Transfer,Cat,Unknown,1 day,Domestic Shorthair Mix,Torbie
15713,Adoption,Cat,Spayed Female,5 years,Domestic Longhair Mix,Blue/White
15714,Transfer,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Brown Tabby
15715,Adoption,Dog,Neutered Male,1 year,Queensland Heeler Mix,Tricolor
15716,Transfer,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Brown Tabby
15717,Euthanasia,Dog,Intact Male,2 years,Rottweiler Mix,Black/Brown
15718,Euthanasia,Dog,Spayed Female,8 years,Cocker Spaniel,Buff/White
15719,Adoption,Dog,Neutered Male,5 years,Soft Coated Wheaten Terrier Mix,Cream
15720,Return_to_owner,Dog,Neutered Male,3 years,Soft Coated Wheaten Terrier Mix,Cream
15721,Adoption,Dog,Spayed Female,4 years,Jack Russell Terrier/Chihuahua Shorthair,Tricolor
15722,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Gray
15723,Transfer,Cat,Intact Female,1 month,Domestic Medium Hair Mix,Torbie/White
15724,Return_to_owner,Dog,Spayed Female,14 years,Boxer Mix,Brown
15725,Transfer,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Torbie
15726,Return_to_owner,Dog,Intact Female,4 years,Chihuahua Shorthair Mix,Tan
15727,Adoption,Dog,Neutered Male,4 years,Dachshund Mix,Black/White
15728,Adoption,Dog,Neutered Male,2 months,Pit Bull Mix,Blue/White
15729,Euthanasia,Cat,Intact Female,1 month,Domestic Shorthair Mix,Tortie
15730,Transfer,Cat,Intact Male,5 months,Domestic Shorthair Mix,Orange Tabby/White
15731,Return_to_owner,Dog,Spayed Female,8 years,Labrador Retriever/Pit Bull,Brown/White
15732,Transfer,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,White/Brown Tabby
15733,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie
15734,Transfer,Dog,Intact Male,1 month,Labrador Retriever Mix,Black
15735,Euthanasia,Dog,Intact Male,2 years,Pit Bull Mix,Brown
15736,Adoption,Cat,Neutered Male,2 years,Domestic Medium Hair Mix,Brown Tabby
15737,Euthanasia,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black Smoke/White
15738,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
15739,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black/White
15740,Return_to_owner,Dog,Spayed Female,9 years,Catahoula Mix,Brown Merle/White
15741,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black/White
15742,Adoption,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Cream Tabby
15743,Adoption,Dog,Spayed Female,1 month,Australian Cattle Dog/Border Collie,Black/White
15744,Transfer,Cat,Unknown,2 years,Siamese Mix,Seal Point
15745,Euthanasia,Cat,Unknown,2 years,Domestic Shorthair,Black/White
15746,Transfer,Cat,Intact Female,1 month,Domestic Shorthair Mix,Torbie
15747,Transfer,Cat,Unknown,2 years,Domestic Shorthair Mix,Black/White
15748,Return_to_owner,Dog,Neutered Male,5 years,Pit Bull Mix,Brown Brindle
15749,Transfer,Cat,Intact Male,5 years,Domestic Shorthair Mix,Brown Tabby/White
15750,Transfer,Dog,Neutered Male,1 year,Australian Shepherd Mix,Chocolate/White
15751,Adoption,Cat,Intact Male,3 months,Domestic Shorthair Mix,Black/White
15752,Transfer,Dog,Intact Female,6 days,Rat Terrier Mix,White
15753,Euthanasia,Cat,Unknown,1 weeks,Domestic Shorthair Mix,Blue Tabby/White
15754,Euthanasia,Dog,Neutered Male,3 years,Pit Bull Mix,White
15755,Transfer,Dog,Intact Female,2 months,Weimaraner Mix,Chocolate/White
15756,Adoption,Cat,Spayed Female,9 years,Domestic Shorthair Mix,Brown Tabby/White
15757,Adoption,Cat,Intact Female,2 months,Domestic Shorthair Mix,Blue Tabby
15758,Adoption,Dog,Neutered Male,7 months,Labrador Retriever Mix,Black
15759,Transfer,Cat,Intact Male,3 days,Domestic Shorthair Mix,Blue
15760,Euthanasia,Dog,Neutered Male,4 years,Pit Bull Mix,Brown
15761,Return_to_owner,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Brown
15762,Transfer,Dog,Intact Female,1 year,Chihuahua Shorthair Mix,Black/Tan
15763,Return_to_owner,Dog,Neutered Male,4 years,Staffordshire Mix,Black/White
15764,Adoption,Cat,Intact Male,5 months,Domestic Medium Hair,Brown Tabby/White
15765,Adoption,Dog,Neutered Male,8 years,German Shepherd Mix,Brown
15766,Transfer,Dog,Intact Female,9 months,Pointer Mix,Black/White
15767,Transfer,Cat,Intact Male,2 months,Domestic Shorthair Mix,Black
15768,Return_to_owner,Cat,Spayed Female,9 years,Domestic Shorthair Mix,Brown Tabby/White
15769,Transfer,Cat,Neutered Male,10 months,Domestic Medium Hair Mix,Orange Tabby/White
15770,Return_to_owner,Dog,Neutered Male,3 years,Labrador Retriever Mix,Black/White
15771,Adoption,Dog,Neutered Male,2 months,Treeing Walker Coonhound Mix,Brown/White
15772,Transfer,Cat,Intact Male,6 days,Domestic Shorthair Mix,Orange Tabby
15773,Adoption,Dog,Spayed Female,1 year,Australian Cattle Dog Mix,Black/White
15774,Adoption,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black
15775,Euthanasia,Dog,Neutered Male,2 years,Pit Bull Mix,Black Brindle/White
15776,Euthanasia,Dog,Intact Male,1 month,Chihuahua Shorthair Mix,Brown
15777,Adoption,Dog,Spayed Female,2 years,Cardigan Welsh Corgi Mix,Tricolor
15778,Transfer,Cat,Intact Male,3 months,Domestic Shorthair Mix,Black
15779,Adoption,Cat,Spayed Female,1 year,Domestic Shorthair Mix,White
15780,Transfer,Cat,Intact Male,2 weeks,Domestic Shorthair,Blue
15781,Adoption,Dog,Spayed Female,2 years,Maltese/Miniature Poodle,White
15782,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue/White
15783,Adoption,Dog,Neutered Male,2 months,Cocker Spaniel/Australian Shepherd,Brown Brindle/Brown Brindle
15784,Adoption,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Blue Tabby/White
15785,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie
15786,Adoption,Dog,Neutered Male,2 years,Siberian Husky Mix,Black/White
15787,Transfer,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Black/White
15788,Transfer,Dog,Intact Male,6 years,Chihuahua Longhair/Papillon,Brown/White
15789,Return_to_owner,Dog,Neutered Male,10 years,Australian Cattle Dog/Pit Bull,White/Black
15790,Transfer,Dog,Intact Male,4 months,Border Collie Mix,White/Black
15791,Adoption,Dog,Spayed Female,4 months,Pit Bull Mix,Chocolate/White
15792,Adoption,Cat,Spayed Female,6 months,Domestic Shorthair Mix,Black Smoke
15793,Adoption,Dog,Spayed Female,5 months,Chihuahua Shorthair Mix,Black/Tan
15794,Transfer,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Buff
15795,Adoption,Dog,Spayed Female,2 years,Australian Cattle Dog Mix,White/Black
15796,Adoption,Cat,Intact Female,1 month,Domestic Shorthair Mix,White/Brown Tabby
15797,Transfer,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Brown Tabby
15798,Adoption,Dog,Neutered Male,11 months,Chihuahua Shorthair Mix,Brown
15799,Adoption,Cat,Neutered Male,1 month,Siamese Mix,Blue Point
15800,Transfer,Dog,Spayed Female,9 years,Dachshund Mix,Red
15801,Transfer,Cat,Intact Female,1 month,Domestic Longhair Mix,Black Smoke
15802,Transfer,Dog,Neutered Male,6 years,Chihuahua Shorthair Mix,Tan
15803,Transfer,Cat,Intact Female,4 months,Domestic Shorthair Mix,Torbie/White
15804,Adoption,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Calico
15805,Adoption,Dog,Neutered Male,8 months,Chihuahua Longhair Mix,Tan
15806,Adoption,Dog,Spayed Female,2 years,Pit Bull Mix,White/Brown Brindle
15807,Euthanasia,Cat,Intact Female,12 years,Domestic Medium Hair Mix,Black
15808,Transfer,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Brown Tabby/White
15809,Return_to_owner,Dog,Spayed Female,6 years,Labrador Retriever,Yellow
